Abba, 1111111111 1 2016 200 
Abba, 1111111111 1 2016 500 
Abba, 1111111111 1 2016 200 
Abba, 1111111111 1 2015 200 
Abba, 1111111111 1 2015 200 
Snaebjorn  Bjornsson, 2222222222 2 2016 100 
Snaebjorn Bjornsson, 2222222222 2 2016 100 
Snaebjorn, 2222222222 2 2016 100 
Snaebjorn, 2222222222 2 2014 100 
Snaebjorn, 2222222222 2 2015 100 
Snaebjorn, 2222222222 2 2014 100 
Snaebjorn, 2222222222 2 2013 100 
Snaebjorn, 2222222222 2 2016 100 
Snaebjorn, 2222222222 2 2016 100 
Snaebjorn, 2222222222 2 2016 100 
Snaebjorn, 2222222222 2 2016 100 
Snaebjorn, 2222222222 2 2016 100 
Snaebjorn, 2222222222 2 2016 100 
Snaebjorn, 2222222222 2 2016 100 
Snaebjorn, 2222222222 2 2016 100 
Snaebjorn, 2222222222 2 2016 100 
Snaebjorn, 2222222222 2 2016 100 
Snaebjorn, 2222222222 2 2016 100 
Snaebjorn, 2222222222 2 2016 100 
Snaebjorn, 2222222222 2 2016 100 
Snaebjorn, 2222222222 2 2016 100 
Snaebjorn, 2222222222 2 2016 100 
Snaebjorn, 2222222222 2 2016 100 
Snaebjorn, 2222222222 2 2016 100 
Snaebjorn, 2222222222 2 2016 100 
Snaebjorn, 2222222222 2 2016 100 
